ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4756,13359,Street Outlaws 2: Winner Takes All (PS4),GameMill Entertainment,2021.0,2021-09-21,Team6 Game Studios,"Automobile, Arcade Racing",,NA,Physical only,PS4 Pro,nan,0,0,https://streetoutlawsgame.com/
4757,10650,Street Power Soccer,Maximum Games,2020.0,2020-08-25,"SFL Interactive, Gamajun","Sports, Football",,2959.36,Physical and Digital,,nan,0,0,https://www.streetpowergame.com/en/
4758,10649,Street Power Soccer (EU),Maximum Games,2020.0,2020-08-25,"SFL Interactive, Gamajun","Sports, Football",,2949.12,Physical and Digital,,nan,0,0,https://www.streetpowergame.com/en/
4759,10933,Street Racer Underground,JanduSoft,2020.0,2020-10-09,Inlogic Software,"Automobile, Arcade Racing",,191.0,Digital only,,nan,0,0,https://www.jandusoft.com/published-games/street-racer-underground/
4760,9947,Streets of Rage 4,"Dotemu, 3goo, Merge Games, H2 Interactive, Chengdu Joystick IP Service",2020.0,2020-04-30,"Dotemu, Lizardcube, Guard Crush Games",Beat 'em up,,5519.36,Physical and Digital,,nan,0,0,https://www.streets4rage.com/
4761,6757,Streets of Red: Devil's Dare Deluxe,Ratloop Asia,2018.0,2018-04-12,Secret Base,Beat 'em up,,796.0,Physical and Digital,PS4 Pro,nan,0,0,http://www.streetsofred.com/
4762,8718,Streets of Rogue,tinyBuild,2019.0,2019-07-12,Matt Dabrowski,Roguelite,,465.0,Digital only,,nan,0,0,http://streetsofrogue.com/
4763,-1290,Strength of the Sword: ULTIMATE,,,,,,,NA,,,nan,0,0,http://www.swordultimate.com/
4764,9386,Stretch Arcade,Top Rated,2019.0,2019-11-22,Top Rated,Action,,241.0,Digital only,,0-1,0,0,
4765,9309,Stretch Arcade (EU),Top Rated,2019.0,2019-12-03,Top Rated,Action,,241.0,Digital only,,0-1,0,0,
4766,9310,Stretch Arcade (HK/TW),Top Rated,2019.0,2019-11-22,Top Rated,Action,,241.0,Digital only,,0-1,0,0,
4767,2270,Strider,Capcom Entertainment,2014.0,2014-02-19,Double Helix,"Metroidvania, Platformer","PS Plus, PS Now",2959.36,Digital only,,12-15,0,0,
4768,13393,Strike Force 2 - Terrorist Hunt,Polygon Art,2021.0,2021-11-24,Enigma Entertainment,First Person Shooter,,NA,Digital only,PS4 Pro,nan,0,0,https://polygon-art.com/
